MONTH;VERSION;DATE;HOUR;SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh);SCHEDULED EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh);SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh);REMUNERATION FOR SYSTEM PRIMARY CONTROL (€);REMUNERATION FOR SYSTEM SECONDARY CONTROL (€);REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€);REMUNERATION FOR STANDING ENERGY RESERVE (€);REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€);REMUNERATION FOR BLACK START (€);ADDITIONAL COST FOR NATURAL GAS PROVISION (€);REMUNERATION FOR CONTRACTED UNITS (€);REMUNERATION FOR EMERGENCY RESERVE UNITS (€);REMUNERATION FOR EMERGENCY IMPORTS (€);REMUNERATION FOR EMERGENCY EXPORTS (€);REMUNERATION FOR CROSS-BORDER MECHANISM (€);REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€);AMOUNT IN DAS FOR PRODUCTION FROM CONTRACTED UNITS (€);GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€);AMOUNT IN DAS FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€);GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€);IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€);EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€);AMOUNT IN DAS FOR RETURN OF EMERGENCY IMPORTS INCLUDED IN DAS (€);AMOUNT IN DAS FOR RETURN OF EMERGENCY EXPORTS INCLUDED IN DAS (€);IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€);EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€)
201010;17;1/10/2010;1;4679,419694;520;355;49,5;4897,2;0;0;0;0;0;0;0;0;0;0;14236,95735;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;2;4312,465522;500;255;72;3966,6;0;0;0;0;0;0;0;0;0;0;14823,41236;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;3;4139,427373;500;230;72;2620,2;0;0;0;0;0;0;0;0;0;0;14946,51627;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;4;4056,788857;400;105;72;2620,2;0;0;0;0;0;0;0;0;0;0;15669,75889;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;5;4030,370393;360;70;72;2620,2;0;0;0;0;0;0;0;0;0;0;16106,6644;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;6;4154,234376;360;70;72;2620,2;0;0;0;0;0;0;0;0;0;0;15901,18447;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;7;4548,401294;425;155;80;2620,2;0;0;0;0;0;0;0;0;0;0;15377,12348;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;8;5103,993934;493;183;72;4695,009;0;0;0;0;0;0;0;0;0;0;14150,6444;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;9;5512,759239;475;175;72;5847,336;0;0;0;0;0;0;0;0;0;0;8755,082725;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;10;5991,829932;440;120;780,8;10764,1875;0;0;0;0;0;0;0;0;0;0;-3419,667971;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;11;6151,476278;455;120;780,8;13197,57833;0;0;0;0;0;0;0;0;0;0;-1090,563169;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;12;6231,793634;392;72;780,8;13300,47833;0;0;0;0;0;0;0;0;0;0;234,3660556;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;13;6274,352381;392;60;780,8;13310,27833;0;0;0;0;0;0;0;0;0;0;-1834,078281;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;14;6247,765164;392;57;780,8;13427,48633;0;0;0;0;0;0;0;0;0;0;1918,301408;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;15;5940,374748;392;55;72;12867,12233;0;0;0;0;0;0;0;0;0;0;8321,087087;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;16;5636,811577;392;57;72;12808,32233;0;0;0;0;0;0;0;0;0;0;8336,244104;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;17;5484,914494;425;90;72;12719,87733;0;0;0;0;0;0;0;0;0;0;8233,889427;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;18;5530,825056;500;112;72;12829,872;0;0;0;0;0;0;0;0;0;0;8347,938501;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;19;5747,197894;460;95;780;12700,27733;0;0;0;0;0;0;0;0;0;0;2114,012466;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;20;6448,258664;460;130;780;13151,32233;0;0;0;0;0;0;0;0;0;0;-4671,147815;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;21;6733,798725;500;180;780,8;13533,76733;0;0;0;0;0;0;0;0;0;0;-14893,57597;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;22;6127,528534;460;135;780;13468,189;0;0;0;0;0;0;0;0;0;0;-2543,594907;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;23;5531,758047;475;110;72;12423,264;0;0;0;0;0;0;0;0;0;0;5951,707942;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;24;5035,291843;455;228;72;9222,972;0;0;0;0;0;0;0;0;0;0;12799,17253;0;0;0;0;0;0;0;0;0;0
201010;17;1/10/2010;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;1;4744,071372;455;190;72;6658,74;0;0;810,4051553;0;0;0;0;0;0;0;24347,23328;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;2;4427,022857;550;285;72;4831,2;0;0;739,1049609;0;0;0;0;0;0;0;25654,74641;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;3;4221,484246;550;270;72;4375,8;0;0;671,5387869;0;0;0;0;0;0;0;25872,20667;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;4;4123,121991;550;260;72;3702,6;0;0;639,5263697;0;0;0;0;0;0;0;25281,74097;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;5;4090,869542;550;240;72;3682,8;0;0;624,3693043;0;0;0;0;0;0;0;25980,43257;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;6;4113,142607;540;230;72;3663;0;0;627,9130652;0;0;0;0;0;0;0;26624,78883;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;7;4223,337606;550;240;72;3722,4;0;0;663,1485381;0;0;0;0;0;0;0;26953,04721;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;8;4412,380897;550;215;72;5392,2;0;0;712,7903953;0;0;0;0;0;0;0;25560,44595;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;9;4951,651333;550;210;72;6634,122;0;0;886,8877779;0;0;0;0;0;0;0;17199,53813;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;10;5518,441685;550;210;72;7159,357333;0;0;1092,356339;0;0;0;0;0;0;0;6497,491556;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;11;5825,347108;540;200;780;6385,810667;0;0;1208,524563;0;0;0;0;0;0;0;-4623,202525;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;12;6061,642011;540;190;780,8;855,5983333;0;0;1301,006728;0;0;0;0;0;0;0;-10320,49696;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;13;6211,256656;540;190;780,8;8009,589;0;0;1364,023401;0;0;0;0;0;0;0;-9537,991424;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;14;6149,693076;550;200;780,8;6591,855667;0;0;1342,13687;0;0;0;0;0;0;0;-11481,06835;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;15;5784,08409;550;200;780;6439,955667;0;0;1192,028711;0;0;0;0;0;0;0;-6049,892615;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;16;5352,732908;550;190;72;5886,010667;0;0;1022,678776;0;0;0;0;0;0;0;16997,3002;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;17;5155,759106;550;190;72;4837,272;0;0;951,2838181;0;0;0;0;0;0;0;16016,2591;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;18;5255,215944;550;190;72;4837,272;0;0;987,0100059;0;0;0;0;0;0;0;12411,21788;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;19;5486,393634;522;172;72;4788,410667;0;0;1065,804755;0;0;0;0;0;0;0;13553,39302;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;20;6164,963688;550;204;780,8;5922,924;0;0;1350,295704;0;0;0;0;0;0;0;-8791,488266;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;21;6427,631741;550;210;780,8;6966,852667;0;0;1466,620152;0;0;0;0;0;0;0;-8231,502945;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;22;5980,62145;550;229;72;6972,438667;0;0;1283,57601;0;0;0;0;0;0;0;12537,58281;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;23;5451,010664;550;210;72;5663,877333;0;0;1066,79086;0;0;0;0;0;0;0;13224,43679;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;24;5041,126892;550;245;72;4348,872;0;0;930,1789527;0;0;0;0;0;0;0;13551,77445;0;0;0;0;0;0;0;0;0;0
201010;17;2/10/2010;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;1;4619,986016;535;230;0;5539,466667;0;0;612,6425822;0;0;0;0;0;0;0;-5093,488145;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;2;4231,687871;528;238;0;4890,6;0;0;520,3320764;0;0;0;0;0;0;0;31946,74864;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;3;4044,793579;440;125;0;4910,4;0;0;452,8509876;0;0;0;0;0;0;0;33644,29868;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;4;3937,348633;385;90;0;4910,4;0;0;422,4396359;0;0;0;0;0;0;0;37773,87712;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;5;3845,673686;345;75;0;3900,6;0;0;400,3571623;0;0;0;0;0;0;0;110157,8758;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;6;3860,117562;345;80;0;3583,8;0;0;404,3380077;0;0;0;0;0;0;0;109268,1251;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;7;3937,04117;345;80;0;3564;0;0;420,280047;0;0;0;0;0;0;0;108494,1951;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;8;4023,429602;345;80;0;3544,2;0;0;438,551076;0;0;0;0;0;0;0;107503,5654;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;9;4314,000914;395;100;0;3564;0;0;507,4474146;0;0;0;0;0;0;0;31940,88773;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;10;4789,20433;550;235;0;5144,799;0;0;657,447069;0;0;0;0;0;0;0;21473,6839;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;11;5262,136093;425;160;0;6185,322;0;0;765,7147878;0;0;0;0;0;0;0;20078,30816;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;12;5597,134754;410;115;0;6810,111;0;0;849,8124614;0;0;0;0;0;0;0;21248,23;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;13;5648,278197;410;115;0;5355,867;0;0;865,0981318;0;0;0;0;0;0;0;-9284,435584;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;14;5473,922045;410;120;0;5491,966667;0;0;815,0026605;0;0;0;0;0;0;0;19440,41457;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;15;5033,819489;550;255;0;4804,932;0;0;728,5237184;0;0;0;0;0;0;0;21180,85866;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;16;4741,225753;550;252;0;4249,872;0;0;649,3646009;0;0;0;0;0;0;0;21954,7091;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;17;4641,601139;550;240;0;4249,872;0;0;620,6557596;0;0;0;0;0;0;0;21486,74306;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;18;4734,012076;550;225;0;4417,71;0;0;640,4961719;0;0;0;0;0;0;0;20704,49031;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;19;5062,056518;550;230;0;4681,633333;0;0;729,4157791;0;0;0;0;0;0;0;16444,22288;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;20;5739,403732;550;255;0;5375,898;0;0;935,8757335;0;0;0;0;0;0;0;-22454,9828;0;0;0;0;0;0;0;0;0;0
201010;17;3/10/2010;21;6054,663409;550;285;0;5720,286;0;0;1046,787692;0;0;0;0;0;0;0;-22469,50369;0;0;0;0;0;0;0;0;0;0
