MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),AMOUNT IN DAS FOR IMPORT CORRESPONDING TO THE ADJUSTING SCHEDULES FOR FLOW DEVIATIONS (€),AMOUNT IN DAS FOR EXPORT CORRESPONDING TO THE ADJUSTING SCHEDULES FOR FLOW DEVIATIONS (€),AMOUNT IN DAS FOR GUARANTEES OF COMMERCIAL SCHEDULES (€),AMOUNT IN DAS FOR RETURN OF GUARANTEES OF COMMERCIAL SCHEDULES (€),DEVIATION CREDIT OR DEBIT FOR HTSO DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),DEVIATION CREDIT OR DEBIT FOR HTSO DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),AMOUNT IN DAS FOR ENERGY OFFERS CORRESPONDING TO MONTHLY DEVIATIONS ON THE INTERCONNECTIONS (€),AMOUNT IN DAS FOR LOAD DECLARATIONS CORRESPONDING TO MONTHLY DEVIATIONS ON THE INTERCONNECTIONS (€),ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),LOSSES OND OTHER (€),TOTAL (€)
201101,9,1/1/2011,1,5423.724136,500,150,-627.2736814,0,0,0,0,0,0,0,-3534.599246,443.9538776,1147.963157,-2569.955892
201101,9,1/1/2011,2,5053.666907,484,120,-627.2573798,0,0,0,0,0,0,0,-1519.70105,243.2647668,567.385987,-1336.307676
201101,9,1/1/2011,3,4931.319126,545,190,-627.565731,0,0,0,0,0,0,0,-2314.167254,84.35875765,853.3041408,-2004.070087
201101,9,1/1/2011,4,4611.75901,545,162,-630.0627823,0,0,0,0,0,0,0,-3137.520454,92.28234258,831.931556,-2843.369338
201101,9,1/1/2011,5,4351.306475,541,103,-626.1960409,0,0,0,0,0,0,0,-5407.784555,4.668671269,1132.169917,-4897.142008
201101,9,1/1/2011,6,4206.686097,546,106,-619.0527136,0,0,0,0,0,0,0,-6102.881902,-204.797928,1403.726023,-5523.006521
201101,9,1/1/2011,7,4195.521605,545,107,-617.3259206,0,0,0,0,0,0,0,-6342.616108,-107.956005,1538.287249,-5529.610785
201101,9,1/1/2011,8,4164.942639,525,112,-579.0772456,0,0,0,0,0,0,0,-12231.28412,850.5257713,1762.94497,-10196.89063
201101,9,1/1/2011,9,4254.901954,505,70,-595.3138848,0,0,0,0,0,0,0,-10335.62831,1012.915962,1776.547507,-8141.478725
201101,9,1/1/2011,10,4681.107805,505,107,-624.3256981,0,0,0,0,0,0,0,-4670.707578,1211.228608,1443.058711,-2640.745957
201101,9,1/1/2011,11,5182.794946,495,97,-636.219672,0,0,0,0,0,0,0,-2090.016586,1214.838954,1957.57193,446.1746269
201101,9,1/1/2011,12,5607.992174,500,100,-633.2544768,0,0,0,0,0,0,0,-4323.268211,1093.690344,1936.357608,-1926.474736
201101,9,1/1/2011,13,5721.748348,500,100,-395.593,971.001,0,0,0,0,0,0,-4969.776196,158.6452451,1760.525014,-2475.197937
201101,9,1/1/2011,14,5421.483505,500,100,-399.949,981.693,0,0,0,0,0,0,-3158.760701,727.8963987,1808.998739,-40.121564
201101,9,1/1/2011,15,4853.746594,505,102,-636.3431216,0,0,0,0,0,0,0,-5335.793095,3486.33388,1392.021547,-1093.780789
201101,9,1/1/2011,16,4776.483326,505,102,-645.0445985,0,0,0,0,0,0,0,-371.2016444,934.2696441,1248.770876,1166.794277
201101,9,1/1/2011,17,5060.338675,515,112,-648.1023898,0,0,0,0,0,0,0,-989.8205999,848.4380875,1242.780815,453.2959125
201101,9,1/1/2011,18,5476.001511,500,105,-645.0973677,0,0,0,0,0,0,0,-3088.412899,2093.642991,1673.842526,33.97524992
201101,9,1/1/2011,19,5938.292522,500,105,-646.7181346,0,0,0,0,0,0,0,-2163.179757,4101.176156,1797.396019,3088.674284
201101,9,1/1/2011,20,6035.21227,500,105,-633.2818087,0,0,0,0,0,0,0,-4416.867031,1470.355654,1796.707805,-1783.085381
201101,9,1/1/2011,21,6024.683074,500,105,-634.9277078,0,0,0,0,0,0,0,-2152.26977,1521.736498,1768.798589,503.337609
201101,9,1/1/2011,22,5843.121662,500,155,-633.3668544,0,0,0,0,0,0,0,-1853.415461,1583.390357,1382.187893,478.7959352
201101,9,1/1/2011,23,5505.402175,500,155,-630.2775908,0,0,0,0,0,0,0,-4087.736655,1181.6831,1578.508349,-1957.822797
201101,9,1/1/2011,24,5415.49927,510,150,-630.4268133,0,0,0,0,0,0,0,-2763.851316,-333.112538,1242.373746,-2485.016922
201101,9,1/1/2011,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,9,1/2/2011,1,5048.293203,500,143,-630.48876,0,0,0,0,0,0,0,-2021.92647,-39.58824435,1105.823056,-1586.180418
201101,9,1/2/2011,2,4631.959269,520,100,-633.1385554,0,0,0,0,0,0,0,173.0236175,-725.9598034,1381.101143,195.0264016
201101,9,1/2/2011,3,4593.017311,520,100,-633.1203073,0,0,0,0,0,0,0,1.004802114,-378.687835,1232.805986,222.0026455
201101,9,1/2/2011,4,4401.474448,520,100,-627.0984599,0,0,0,0,0,0,0,-2379.416769,0.039598629,1413.997937,-1592.477694
201101,9,1/2/2011,5,4186.797913,516,96,-623.0036592,0,0,0,0,0,0,0,-6007.601052,1068.129513,1788.062432,-3774.412767
201101,9,1/2/2011,6,4132.784111,526,106,-620.012499,0,0,0,0,0,0,0,-6922.398258,5393.519736,1586.651533,-562.2394877
201101,9,1/2/2011,7,4200.481639,530,110,-620.012499,0,0,0,0,0,0,0,-7155.805442,4296.136823,1703.361628,-1776.319489
201101,9,1/2/2011,8,4192.94903,520,100,-617.1060058,0,0,0,0,0,0,0,-8458.252419,2392.202436,1518.839695,-5164.316293
201101,9,1/2/2011,9,4333.002841,500,95,-619.3668096,0,0,0,0,0,0,0,-4826.216535,756.011697,1389.107736,-3300.463911
201101,9,1/2/2011,10,4762.891189,500,95,-633.1721871,0,0,0,0,0,0,0,-2407.740237,203.9179368,1349.391625,-1487.602863
201101,9,1/2/2011,11,5294.685881,500,95,-635.123016,0,0,0,0,0,0,0,-1728.235088,41.05244153,2035.115001,-287.1906613
201101,9,1/2/2011,12,5756.700448,500,95,-645.176893,0,0,0,0,0,0,0,64.22961806,250.5798524,2522.385501,2192.018079
201101,9,1/2/2011,13,6075.517238,500,95,-399.938,981.666,0,0,0,0,0,0,2020.971677,600.9307772,4081.081533,7284.711987
201101,9,1/2/2011,14,6019.624347,500,95,-399.971,981.747,0,0,0,0,0,0,6469.699704,2134.137162,5932.517336,15118.1302
201101,9,1/2/2011,15,5553.527303,500,95,-633.3423982,0,0,0,0,0,0,0,-7538.87249,4182.465818,4048.319582,58.57051174
201101,9,1/2/2011,16,5458.717924,500,95,-633.354216,0,0,0,0,0,0,0,2324.555375,9.275513884,4230.006699,5930.483372
201101,9,1/2/2011,17,5729.291097,500,95,-635.014798,0,0,0,0,0,0,0,4313.865541,958.769634,3480.89302,8118.513397
201101,9,1/2/2011,18,6009.464271,500,95,-636.3707514,0,0,0,0,0,0,0,5178.873144,861.3084179,3458.481132,8862.291943
201101,9,1/2/2011,19,6361.54419,500,95,-645.3282773,0,0,0,0,0,0,0,-3142.326247,209.2112445,1851.401677,-1727.041603
201101,9,1/2/2011,20,6450.039484,500,95,-648.2310874,0,0,0,0,0,0,0,3821.223207,289.1920154,3491.357207,6953.541342
201101,9,1/2/2011,21,6403.538859,500,95,-643.2542592,0,0,0,0,0,0,0,-2639.727052,284.2948659,2432.814659,-565.8717863
201101,9,1/2/2011,22,6197.909344,500,95,-643.2413414,0,0,0,0,0,0,0,-5050.498599,692.539171,3434.381726,-1566.819043
201101,9,1/2/2011,23,5823.197519,500,95,-636.4695053,0,0,0,0,0,0,0,-1694.34642,908.3978858,3119.349044,1696.931005
201101,9,1/2/2011,24,5643.5698,500,95,-634.91594,0,0,0,0,0,0,0,-1740.129435,310.3650345,2715.062335,650.3819943
201101,9,1/2/2011,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,9,1/3/2011,1,5104.403435,500,95,-657.7531298,0,0,0,0,0,0,0,9353.522277,-116.1021711,2727.529364,11307.19634
201101,9,1/3/2011,2,4655.034854,500,95,-646.1423296,0,0,0,0,0,0,0,-2720.427194,2170.797951,1954.963112,759.1915395
201101,9,1/3/2011,3,4612.260843,500,95,-644.3901755,0,0,0,0,0,0,0,-1517.725369,95.49342067,2036.006722,-30.61540256
201101,9,1/3/2011,4,4434.64445,500,95,-634.0077732,0,0,0,0,0,0,0,-3689.246972,3088.380909,2291.962482,1057.088645
201101,9,1/3/2011,5,4283.227786,500,95,-629.3785615,0,0,0,0,0,0,0,-3607.348188,4780.077298,2131.990415,2675.340963
201101,9,1/3/2011,6,4271.995938,500,95,-629.3593262,0,0,0,0,0,0,0,-3696.533671,-358.2340848,2133.446095,-2550.680987
201101,9,1/3/2011,7,4613.075411,500,95,-644.5113286,0,0,0,0,0,0,0,-3009.108838,34.68348793,1684.667592,-1934.269086
201101,9,1/3/2011,8,5087.75554,500,115,-296.952,816.618,0,0,0,0,0,0,-2110.374461,5.243927053,1522.225581,-63.23895365
201101,9,1/3/2011,9,5619.822432,511,105,-690.514,1694.898,0,0,0,0,0,0,7394.749734,129.2593541,2557.335634,11085.72872
201101,9,1/3/2011,10,6242.268445,481,105,-700.04,1718.28,0,0,0,0,0,0,12584.61744,281.5080378,3171.775167,17056.14064
201101,9,1/3/2011,11,6573.072694,487,112,-631.792,1737.428,0,0,0,0,0,0,10725.22371,-2767.093099,3308.333284,12372.0999
201101,9,1/3/2011,12,6800.596184,457,92,-583.952,1605.868,0,0,0,0,0,0,10063.78191,-7639.756446,4217.883481,7663.824944
201101,9,1/3/2011,13,6956.751091,487,122,-758.615,1862.055,0,0,0,0,0,0,11066.82239,-6731.959471,4567.747123,10006.05005
201101,9,1/3/2011,14,6953.544297,555,160,-552.736,1520.024,0,0,0,0,0,0,10335.26686,-7038.139923,4470.637495,8735.052429
201101,9,1/3/2011,15,6614.844567,490,95,-509.552,1401.268,0,0,0,0,0,0,10405.53508,648.5719414,3345.771077,15291.5941
201101,9,1/3/2011,16,6480.052662,485,90,-507.12,1394.58,0,0,0,0,0,0,9422.902963,969.3513543,3337.994916,14617.70923
201101,9,1/3/2011,17,6558.712455,535,140,-502.976,1383.184,0,0,0,0,0,0,9174.540758,2505.1394,2623.471075,15183.35923
201101,9,1/3/2011,18,6859.548985,556,161,-523.152,1438.668,0,0,0,0,0,0,9314.469206,698.4360534,2282.51951,13210.94077
201101,9,1/3/2011,19,7195.230848,536,141,-761.959,1870.263,0,0,0,0,0,0,6410.156185,1014.937016,2441.48988,10974.88708
201101,9,1/3/2011,20,7145.386989,556,161,-760.661,1867.077,0,0,0,0,0,0,4582.268286,922.934244,2040.440942,8652.059471
201101,9,1/3/2011,21,7060.271246,556,161,-760.21,1865.97,0,0,0,0,0,0,5334.820743,950.0034828,1797.283283,9187.867509
201101,9,1/3/2011,22,6700.645791,556,161,-502.824,1382.766,0,0,0,0,0,0,6451.154435,492.9277422,1502.864575,9326.888752
201101,9,1/3/2011,23,6185.22115,496,101,-317.952,874.368,0,0,0,0,0,0,10908.16754,945.8674054,833.9585698,13244.40952
201101,9,1/3/2011,24,5861.380967,536,111,-668.4955039,0,0,0,0,0,0,0,6413.670778,660.5603179,1587.211815,7992.947407
201101,9,1/3/2011,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,9,1/4/2011,1,5309.892001,528,103,-648.282888,0,0,0,0,0,0,0,-337.6913936,162.5986557,1278.709228,455.3336024
201101,9,1/4/2011,2,4849.940564,537,110,-627.4830326,0,0,0,0,0,0,0,-3140.503428,746.6764605,1190.537095,-1830.772905
201101,9,1/4/2011,3,4832.221167,532,110,-627.4823466,0,0,0,0,0,0,0,-667.9284022,171.5184048,963.0030703,-160.8892738
201101,9,1/4/2011,4,4687.810933,534,95,-619.8761765,0,0,0,0,0,0,0,-3021.096376,180.6276008,1157.296255,-2303.048697
201101,9,1/4/2011,5,4538.294304,537,110,-609.542149,0,0,0,0,0,0,0,-7548.632213,226.6935524,1446.733473,-6484.747337
201101,9,1/4/2011,6,4577.145546,537,110,-618.2025729,0,0,0,0,0,0,0,-7904.950452,41.49507529,1434.428881,-7047.229069
201101,9,1/4/2011,7,4932.999738,530,110,-632.6334796,0,0,0,0,0,0,0,-3052.40018,474.5784734,744.2927604,-2466.162426
201101,9,1/4/2011,8,5485.94961,536,120,-295.76,813.34,0,0,0,0,0,0,-636.9088274,160.484079,1274.842894,1315.998145
201101,9,1/4/2011,9,6084.073885,537,92,-415.767,1020.519,0,0,0,0,0,0,-1255.893868,510.38643,1167.669466,1026.914027
201101,9,1/4/2011,10,6857.430463,587,77,-409.189,1004.373,0,0,0,0,0,0,3549.639022,1346.352156,3802.518967,9293.694146
201101,9,1/4/2011,11,7242.787999,588,78,-297.776,818.884,0,0,0,0,0,0,-4631.7898,1978.089598,2861.615138,729.0229352
201101,9,1/4/2011,12,7393.674069,600,90,-303.728,835.252,0,0,0,0,0,0,6785.479192,-347.5142484,2537.714344,9507.203288
201101,9,1/4/2011,13,7467.116279,600,90,-423.346,1039.122,0,0,0,0,0,0,5576.475354,1036.225328,2780.61485,10009.09153
