MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),UA2 - DEVIATION CREDIT OR DEBIT DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - DEVIATION CREDIT OR DEBIT DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),UA2 - CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),UA2 - LOSSES OND OTHER (€),UA3.1 - REMUNERATION FOR SYSTEM PRIMARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM SECONDARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€),UA3.1 - REMUNERATION FOR STANDING ENERGY RESERVE (€),UA3.1 - REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€),UA3.1 - REMUNERATION FOR BLACK START (€),UA3.1 - ADDITIONAL COST FOR NATURAL GAS PROVISION (€),UA3.2 - REMUNERATION FOR CONTRACTED UNITS (€),UA3.2 - REMUNERATION FOR EMERGENCY RESERVE UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€),UA3.3 - REMUNERATION FOR EMERGENCY IMPORTS (€),UA3.3 - REMUNERATION FOR EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€),UA3.3 - EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.3 - EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.4 - CASC FEE (€),UA3.4 - ITC COST FOR TSO SCHEDULES WITH PERIMETER COUNTRIES (€),UA3.5 - REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€),UA3.6 - SPECIAL CONSUMPTION TAX FOR NATURAL GAS (€)
201201,17,1/1/2012,1,"5,245,861,216",10,0,0,"-2,928,166,567","1,753,210,251","121,727,205",64,"2,483,927,591",0,0,"1,729,581,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,419,389,412",0
201201,17,1/1/2012,2,"4,947,471,957",185,0,0,"-3,508,213,006","-2,910,922,369","1,317,506,803",64,"2,436,064,996",0,0,"1,649,325,747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"761,822,772",0
201201,17,1/1/2012,3,"4,856,087,782",185,0,0,"-3,200,373,714","3,754,448,524","1,496,222,385",64,"2,308,414,492",0,0,"15,911,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,845,696,035",0
201201,17,1/1/2012,4,"4,565,266,416",277,0,0,"-1,252,925,153","3,266,612,541","138,645,045","36,8","3,462,621,739",0,0,"1,468,083,064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,221,157,614",0
201201,17,1/1/2012,5,"4,548,089,765",277,0,0,"-318,222,478","1,894,125,158","1,422,755,886",64,"3,462,621,739",0,0,"1,457,686,269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,506,505,985",0
201201,17,1/1/2012,6,"4,515,259,476",277,0,0,"-4,020,544,409","607,604,375","1,760,789,472",64,"3,462,621,739",0,0,"143,791,733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,357,743,852",0
201201,17,1/1/2012,7,"4,508,971,514",277,0,0,"-2,797,374,387","-2,043,380,087","1,814,492,934",72,"3,478,826,395",0,0,"14,341,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,107,071,826",0
201201,17,1/1/2012,8,"4,616,161,458",192,0,0,"-3,181,792,561","7,036,156,858","2,018,404,796",72,"3,462,621,739",0,0,"1,447,475,942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,651,441,072",0
201201,17,1/1/2012,9,"4,725,695,688",287,0,0,"1,985,046,999","-2,299,326,232","1,837,599,608",64,"3,462,621,739",0,0,"1,573,243,509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,084,703,031",0
201201,17,1/1/2012,10,"5,143,024,106",246,0,0,"2,408,562,676","-3,401,473,113","1,057,730,283",72,"3,462,621,739",0,0,"181,833,342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,251,623,407",0
201201,17,1/1/2012,11,"5,370,156,488",246,0,0,"5,532,005,764","-26,628,602","1,408,552,774",72,"3,517,859,616",0,0,"1,974,838,882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"805,525,454",0
201201,17,1/1/2012,12,"5,669,801,839",150,0,0,"-4,209,964,634","6,431,209,999","1,504,328,443",64,"377,632,291",0,0,"2,120,653,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,703,461,461",0
201201,17,1/1/2012,13,"5,745,264,862",150,0,0,"-1,813,825,606","5,258,818,361","2,345,716,889",72,"258,583,158",0,0,"2,176,005,116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,187,595,436",0
201201,17,1/1/2012,14,"5,395,982,107",246,0,0,"-873,442,488","-1,354,111,155","2,613,847,262",72,"5,000,075,716",0,0,"199,304,304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,917,153,685",0
201201,17,1/1/2012,15,"4,773,140,477",286,0,0,"-1,129,199,957","1,678,573,737","1,396,343,398",72,"3,728,568,952",0,0,"1,602,532,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"737,250,116",0
201201,17,1/1/2012,16,"4,650,026,315",286,0,0,"4,996,378,982","5,231,385,271","1,479,885,437",64,"3,726,608,003",0,0,"1,525,485,911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,282,145,442",0
201201,17,1/1/2012,17,"495,911,466",289,0,0,"3,065,263,468","4,791,022,194","1,307,725,024",64,"3,499,785,627",0,0,"1,724,486,894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,806,884,628",0
201201,17,1/1/2012,18,"5,437,200,338",154,0,0,"7,327,578,422","6,509,287,151","3,666,077,083","43,45","4,607,668,041",0,0,"195,732,695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,609,749,201",0
201201,17,1/1/2012,19,"5,906,370,753",150,0,0,"619,981,136","250,709,773","3,045,156,264",44,"246,414,374",0,0,"2,296,562,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,673,144,846",0
201201,17,1/1/2012,20,"5,971,348,181",170,0,0,"804,784,373","2,101,916,756","3,184,915,404",64,"2,560,204,985",0,0,"2,361,460,626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,557,076,928",0
