MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),UA2 - DEVIATION CREDIT OR DEBIT DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - DEVIATION CREDIT OR DEBIT DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),UA2 - CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),UA2 - LOSSES OND OTHER (€),UA3.1 - REMUNERATION FOR SYSTEM PRIMARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM SECONDARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€),UA3.1 - REMUNERATION FOR STANDING ENERGY RESERVE (€),UA3.1 - REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€),UA3.1 - REMUNERATION FOR BLACK START (€),UA3.1 - ADDITIONAL COST FOR NATURAL GAS PROVISION (€),UA3.2 - REMUNERATION FOR CONTRACTED UNITS (€),UA3.2 - REMUNERATION FOR EMERGENCY RESERVE UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€),UA3.3 - REMUNERATION FOR EMERGENCY IMPORTS (€),UA3.3 - REMUNERATION FOR EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€),UA3.3 - EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.3 - EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.4 - CASC FEE (€),UA3.4 - ITC COST FOR TSO SCHEDULES WITH PERIMETER COUNTRIES (€),UA3.5 - REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€),UA3.6 - SPECIAL CONSUMPTION TAX FOR NATURAL GAS (€),RES FLOOR (€)
201501,11,1/1/2015,1,"5,886,962,008,943",0,0,0,"7,904,361,257,133","-10,687,636,836,788","2,447,886,023,375",",040514",",0493104598255130048359691543589073323749",0,0,"1,945,708,643,576,060,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,378,945,177,414,970,000,000,000,000,000,000,000,000","13,195,191"
201501,11,1/1/2015,2,"5,504,030,376,144",0,0,0,"-175,474,690,406","-1,375,434,673,153","5,535,152,809,082",",036",",0962678403206270322641883746578441036523",0,0,"1,700,814,642,362,530,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,157,325,331,136,030,000,000,000,000,000,000,000,000","14,276,907"
201501,11,1/1/2015,3,"5,383,263,020,002",5,0,0,"4,783,654,497,633","-570,130,124,248","4,750,560,620,088",",036",",094485254531198967135008653049132819046",0,0,"1,630,019,935,456,520,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,313,627,112,748,300,000,000,000,000,000,000,000","17,229,917"
201501,11,1/1/2015,4,"5,306,449,118,818",13,0,0,"2,638,064,701,592","-1,576,911,409,319","3,773,295,220,083",",036",",094485254531198967135008653049132819046",0,0,"1,588,651,584,546,520,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,378,980,728,045,610,000,000,000,000,000,000,000,000","33,585,656"
201501,11,1/1/2015,5,"5,167,705,225,785",23,0,0,"12,359,572,887,931","-7,186,971,599,286","4,040,206,466,861",",036",",094485254531198967135008653049132819046",0,0,"1,512,683,518,032,250,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,146,206,134,172,660,000,000,000,000,000,000,000,000","46049,45"
201501,11,1/1/2015,6,"506,876,873,039",16,0,0,"6,766,128,885,972","-1,192,453,762,522","3,122,475,402,649",",108",",094485254531198967135008653049132819046",0,0,"1,451,569,223,030,010,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,920,461,315,767,870,000,000,000,000,000,000,000,000","32,780,474"
201501,11,1/1/2015,7,"5,082,725,634,636",20,0,0,"3,573,252,504,371","937,589,033,062","2,847,717,676,631",",036",",094485254531198967135008653049132819046",0,0,"1,461,839,784,595,990,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"292,010,337,292,790,000,000,000,000,000,000,000,000","31,507,177"
201501,11,1/1/2015,8,"4,894,148,167,313",20,0,0,"2,350,159,760,132","275,589,448,079","2,656,070,338,665",",036",",094317844054491129379595417306528366469",0,0,"1,355,788,155,820,540,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,552,049,531,804,060,000,000,000,000,000,000,000,000","30,384,786"
201501,11,1/1/2015,9,"5,001,113,946,149",42,0,0,"-2,764,416,933,526","1,167,342,789,237","2,842,724,531,937",",036",",0885107316415737293624804476151095782455",0,0,"1,427,883,922,862,580,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,026,264,052,797,570,000,000,000,000,000,000,000,000","17,262,481"
201501,11,1/1/2015,10,"5,559,929,589,134",65,0,0,"5,974,906,409,789","-4,114,179,546,076","2,264,869,641,756",",036",",0347136696455800984620746743345096501547",0,0,"1,776,354,018,855,600,000,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,764,598,434,158,000,000,000,000,000,000,000,000","29,393,088"
